news_id	label	title	keywords
technews-5411526fbcf3e844	不收	錢卓望遠鏡發現神祕 X 射線天體，或能解答天體物理學兩大難題	天文,航太科技,M101,M31,X 射線天體,仙女座星系,紫外線,超軟 X 射線
technews-5521ea846598e6de	科技	打破入門機框架！Googlebook 規格曝光，搭 15.3 吋 OLED 螢幕與 Core Ultra 5 處理器	3C,Android,Google,筆記型電腦,Gemini,Googlebook,lenovo,聯想
technews-57998c816ef38a4a	總經	川普擬取消 H-1B 簽證寬限期，失業得立刻離境	人力資源,金融政策,H-1B 簽證,川普,技術勞工,美國
technews-5a0ea00b31b07e56	科技	康寧跳水 13%  增資＋AI 降速風險引發疑慮	AI 人工智慧,材料、設備,財經,AI 模型,光纖,康寧
technews-5c712c445f294425	總經	韓股盤後交易新制上路，目標 24 小時交易拚國際競爭力	國際金融,證券,財經,金融政策,韓國交易所,韓股
technews-5d7333ba18273f2a	總經	AI 通膨來襲？央行：短期可控、長期生產力提升將降壓	AI 人工智慧,財經,金融政策,AI,央行,經濟成長,通膨
technews-5f00c855dbafb5a9	總經	中資擬收購英美資源鎳礦業務，歐盟警告恐影響競爭	中國觀察,國際觀察,國際貿易,材料,中資,歐盟,競爭,英美資源
technews-602f57556e3a39e5	總經	每加侖飆 8.35 美元天價  加州柴油為何全美最貴？	能源科技,財經,加州,油價,煉油廠
technews-61f87c1f66e21c61	不收	產地直通台日超商！金利食安攜蔬果公會穩定貨源、泰國廠 2027 年擴產	自動化,財報,財經,農業科技,食品科技,冷壓果汁,台灣蔬果輸出業同業公會,金利食安
technews-6568100a6f348fa3	不收	蕨類自製燃料助燃野火，三疊紀末歐洲大火延燒數萬年	環境科學,自然科學,三疊紀,大滅絕,歐洲,災難物種,盤古大陸,蕨類
technews-6666e05d81ab47d3	科技	AI 降速疑慮罩頂  甲骨文、新雲端業者遭拋售	AI 人工智慧,財經,雲端,AI 運算,CoreWeave,neoclouds,甲骨文
technews-6d07241ae94f4a91	科技	最新 AI 代理模擬世界結果出爐，說謊、偷竊、串通繞過安全護欄樣樣來	AI 人工智慧,資訊安全,AI 代理,AI 越獄,Emergence AI,Emergence World,密語,黑話
technews-6e9a40d84a497cc7	科技	台灣創新技術博覽會聚焦 AI 創新應用，資策會多模態技術讓記憶場景再現、走入失智照護	市場動態,台灣創新技術博覽會,多模態 AI,失智照護,智慧照護,生成式 AI,通訊應用
technews-6ffcb0543558ab18	科技	亞馬遜 Ads 宣布與 OpenAI 合作擴展廣告投放，以 Amazon DSP 進軍 ChatGPT	Amazon,ChatGPT,數位廣告,Amazon DSP,OpenAI,亞馬遜 Ads
technews-7162374a62e45822	科技	戴爾護城河難撼動 RBC 喊買  股價受激大漲 12%	AI 人工智慧,伺服器,國際貿易,AI 伺服器,供應鏈,戴爾,輝達
technews-734635333f954945	不收	擔心 AI 毀滅人類？風險專家：人類容易高估陌生威脅	AI 人工智慧,人力資源,環境科學,自然科學,AI,AI 失控,AI 競賽,人類滅絕
technews-761c028f70e6cdfd	科技	螞蟻集團注資新創 JoyIn 指控 OpenAI 抄襲，模型概念到網頁設計皆遭點名	AI 人工智慧,OpenAI,新創,機器人,Aether,AI 模型,GPT-6 Astra,JoyIn
technews-7762921a80186548	科技	奧特曼力挺「控制節奏」：AI 發展不應快過人類掌控，籲建立聯邦監管框架	AI 人工智慧,OpenAI,AI 監管,Anthropic,Dario Amodei,Sam Altman,科技戰,美中衝突
technews-78c62aa10802bb7d	不收	股市大戶獲利轉進！漢皇新北最大公辦都更「單元七」打造高資產聚落	房地產,科技生活,財經,公辦都更,永和大陳,漢皇集團
technews-7ad1b7daebe7f418	不收	桑葚對腸道菌叢與新陳代謝有驚人功效？研究揭示關鍵在於「加工方式」	科技生活,食品科技,代謝,多酚,多醣,桑葚,腸道健康,血糖
technews-7b4fe32e79469fcd	不收	星耀投控攜手國泰證券啟動 IPO，瞄準 2028 年進入市場	太陽能,能源科技,財經,再生能源,星耀投控,綠電
technews-7e2f1c7e84786caf	總經	川普擬發 15 萬大紅包，專家：債台高築憑什麼發錢	國際金融,財經,軍事科技,金融政策,利率,川普,普發現金,油價
technews-80c645c25d1830e6	科技	記憶體吃緊、GPU 報價有撐  美銀唱旺多檔晶片股	AI 人工智慧,GPU,半導體,記憶體,財經,AI 運算,dram,晶片股
technews-847784f8347a1be1	總經	電價暫不調整，台電爭取 711 億元撥補、12 月再議	能源科技,台電,漲價,電價
technews-85682cc4a12ebf2e	不收	oneworld 攜手人氣應用程式 Timeshifter，協助環球旅客適應時差	app,市場動態,手機,數位內容,旅遊,科技生活,軟體、系統,Timeshifter
technews-8846b7fabb754040	不收	iOS 27 出現不易觸發的凍結 Bug，強制重開機就會恢復正常	Apple,iOS,iPhone,iOS 27,蘋果
technews-8a7c12c7575274fc	科技	美學者：美 AI 政策不能缺台灣，須重視逆差擴大	AI 人工智慧,國際貿易,國際金融,科技政策,財經,台灣,美國,貿易談判
technews-8ca688d91f83b5c0	科技	先進製程帶動濕法設備升級，盛美半導體拓展 Ultra C Tahoe 多工藝平台	半導體,材料、設備,半導體設備,盛美半導體
technews-8dc6e34d4cb1e2d7	不收	黑洞風可橫掃 30 萬光年範圍，威力等同數十億顆超新星	天文,自然科學,航太科技,噴流,超大質量黑洞,黑洞風
technews-8e58f95007ecefe5	不收	韓國推 AI 數位學習，八旬銀髮族克服自助點餐機：學習不分年齡	AI 人工智慧,人力資源,科技教育,AI 數位學習中心,銀髮族,韓國,高齡
technews-8fc084ca78654e25	科技	蘋果要求開發者重塑 App 介面以適應 iPhone Duo 雙螢幕設計	app,Apple,iPhone,iOS 開發者,iPhone Duo,摺疊手機,蘋果
technews-91b490ca1b46512e	科技	Adobe 財報不俗、AI 產品成長強勁  盤後仍跌	AI 人工智慧,財報,軟體、系統,Adobe,AI 產品
technews-9382403a45e15e41	科技	特斯拉 Optimus 赴中啟動深度審廠，5,000 台新訂單拉動供應鏈	中國觀察,機器人,汽車科技,Optimus,Tesla,中國廠,人型機器人,特斯拉
technews-95bf3d5ca09387f2	科技	繞道突破美晶片封鎖：中科院藉 GAA 創新延壽 DUV，5 奈米密度成短期極限	AI 人工智慧,中國觀察,半導體,晶片,材料、設備,3 奈米,5 奈米,DUV 設備
technews-96402b3354c70139	科技	費半跳水衝擊台股力守 4 萬 7 關卡，台積電創高營收力抗空軍	證券,財經,ASIC,CoWoS,先進封裝,台積電,台股,晶圓代工
technews-981f648f14b92407	科技	傳統斷路器也要升級？800 V 帶動 SiC SSCB 新商機	半導體,材料、設備,零組件,JFET,SiC,SSCB,SST
technews-9a179600d8464bf4	科技	Forge Nano 押注台灣，打造先進 ALD 設備生產基地	半導體,晶圓,材料、設備,ALD 設備,Forge Nano,先進製程,原子層沉積
technews-9c1037b092647993	科技	聯發科天璣 9600 Pro 多項降低佔用記憶體技術，終端裝置有望 10 月到手	AI 人工智慧,Android 手機,IC 設計,半導體,手機,處理器,2 奈米,台積電
technews-9d344b5aa248fd96	科技	為 X500 Pro 系列暖身，vivo 攜聯發科搶全球首發天璣 9600 Pro	Android 手機,手機,晶片,Vivo,X500 Pro 系列,天璣 9600 Pro,智慧手機,聯發科技
technews-a0fc778f001b66c1	科技	特斯拉正式設立越南子公司  VinFast 迎來強敵	國際貿易,汽車科技,電動車,Tesla,VinFast,東協,特斯拉,越南
technews-a321d5f5c9acd628	不收	加州聖荷西想打造「AI 科技首都」掀地方居民反彈	AI 人工智慧,能源科技,AI 用電,加州,水資源,聖荷西,資料中心
technews-a5edff81b3da81ea	不收	北京市 11/15 開始禁存無人機，二手平台出現拋售潮	中國觀察,無人機,科技政策,中國,全域禁存,北京市,無人機禁令
technews-a9152535d5388e08	科技	具身 AI 的「ChatGPT 時刻」還要多久才會到來？	AI 人工智慧,機器人,AI 機器人,人型機器人,具身 AI,實體 AI,物理 AI
technews-ab33b1009d720dfc	不收	智利為受傷企鵝量身訂製「銅鋅紅背心」，加速癒合重返野外	生態保育,生物科技,醫療科技,企鵝,哨兵物種,復原衣,洪堡企鵝,瀕危動物
technews-ad37b06332243d95	不收	告別人流迷思，月租 88 萬「店租王」換人當！揭密房東最愛的長租新勢力	房地產,科技生活,財經,商圈,店租,店面,房東,租金
technews-aeb5150386ab22b7	總經	國泰金上修今年台灣 GDP 至 11.%、明年僅 5.1%！估央行 9 月利率不動	AI 人工智慧,半導體,國際金融,晶片,證券,財經,零組件,台灣 GDP
technews-aff820fa2739f0ba	不收	捨棄多階段訓練，蘋果新模型 SimpleDesign 以單一流程完成蛋白質設計	AI 人工智慧,Apple,生物科技,SimpleDesig,蘋果,蛋白質摺疊,蛋白質設計
technews-b09ab6e7b9443195	科技	台積電找人才看什麼？米玉傑揭三大特質：願扛責任、敢做決定、待人公平	半導體,晶圓,科技教育,台大,台積電,米玉傑
technews-b19a53d350a12b72	科技	材料技術成半導體下一戰場！應材用 AI 加速研發，盼突破晶片微縮極限	半導體,材料、設備,零組件,半導體材料,應材
technews-b28d2162ba7b8d87	科技	GPU 競賽走向 Token 效率！AIDC 迎三大課題，MIC 揭台供應鏈新商機	AI 人工智慧,伺服器,國際觀察,AIDC,mic,資料中心,資策會
technews-b556fa37f1472134	不收	書籍總量激增 19 倍、營收卻只漲 8 倍，AI「書海戰術」發威導致單本收入暴跌	AI 人工智慧,Amazon,人力資源,數位內容,AI 生成內容,亞馬遜,作家,大型語言模型
technews-b816ad229bf6f540	不收	瞄準肺病醫療市場！國邑 L606 獲 NMPA 核准啟動中國全球臨床三期	生物科技,財經,醫療科技,Liquidia,國邑藥品,間質性肺病
technews-bb6504b172998f77	不收	活到 117 歲仍少有重病，科學家找到超級人瑞的長壽線索	生物科技,醫療科技,人瑞,健康老化,克隆性造血,生物年齡,發炎,端粒
technews-bff99c9c62c100f9	不收	撕掉只發電不養魚標籤！三地七股 143 公頃案場結盟台海大導入科學數據	太陽能,科技生活,能源科技,財經,農業科技,三地能源,台灣海洋大學,漁電共生產
technews-c0cf032ad02ed1c1	科技	AI 失控成真？Google Gemini 驚爆首度「自動連線」駭入三家企業	AI 人工智慧,Gemini,Google,國際觀察,資訊安全,駭客
technews-c5d2c4fd0d58fcc4	科技	英特爾 18A 良率衝上 80%，分析師：量產穩定度明顯改善	半導體,晶圓,晶片,Intel 18A,Panther Lake,先進製程,良率,英特爾
technews-c73d8b643fdb5dc5	科技	聯茂 M9 材料超車同業獲美系認證，陳進財祭四大策略深耕 4S 市場	AI 人工智慧,公司治理,材料、設備,財經,零組件,AI 伺服器,南僑集團,基板材料
technews-c7e261b5935695fd	科技	台達電大手筆籌資：發行 15 億美元可交換債、充實營運資金	材料、設備,財經,台達電,籌資,資本支出
technews-ca9d96f8c3fa7459	科技	代理 AI 改變行動運算架構！高通 Hexagon NPU 強化記憶體容量增 50%	AI 人工智慧,IC 設計,晶片,Hexagon NPU,代理式 AI,高通
technews-cc01db1770714877	科技	AIC 攜手 AMD 深化 AI 基礎設施合作，於 AMD 台北嵌入式高峰會展現多元運算平台實力	AI 人工智慧,伺服器,市場動態,AIC,伺服器主機板,營邦,資料中心
technews-ccb2185facbd9c79	科技	祖克柏：AI 減速不必產業共識，各自依安全需求調整步伐	AI 人工智慧,Meta,名人談,AI 實驗室,AI 模型,MUSE,汪滔,祖克伯
technews-ce1a251c4a164194	不收	「先飛再說」，德州展開空中計程車試飛最快年底載客	交通運輸,航太科技,Air Taxi,eIPP,eVTOL,Joby,空中計程車
technews-d0ec2ae666abb3fb	總經	麥可貝瑞觀望秋季、降風險抱現金  但 AI 空單仍在	AI 人工智慧,證券,財經,Michael Burry,Palantir,科技股,輝達
technews-d2f7fb317547ca51	科技	瞄準廢棄數據的「剩餘價值」，SpaceX 擬購買停業公司資料訓練模型	AI 人工智慧,資訊安全,AI 模型,SpaceX,隱私
technews-d3aa1f2f0743c6ca	不收	Google Home MCP 登場，第三方 AI Agent 與居家環境智慧接軌	3C周邊,AI 人工智慧,Google,軟體、系統,Google Home,MCP
technews-d7008de957441e39	科技	Quest 韌體更新意外洩密，Meta「Project Phoenix」眼鏡曝光	AI 人工智慧,Meta,xR/AR/VR/MR,穿戴式裝置,Meta Quest,Project Phoenix,智慧眼鏡
technews-da2d6510067367bc	總經	川習會前中國擴大對美採購，簽 20 年 LNG 長約	國際貿易,能源科技,中國,川習會,液化天然氣,美國
technews-dcdc91fc5fd593fc	不收	美陸軍 IFPC 攔截彈競標兩強出線，以色列拉斐爾宣告出局	軍事科技,Anduril,IFPC,洛克希德馬丁,美國陸軍,間接火力防護能力第二階段
technews-dde18151f5b076b0	科技	HBM 不再是唯一解方！AI 推理重組記憶體階層	半導體,記憶體
technews-dff9649b1ae65a6c	科技	英王警告錯用 AI 恐有存亡危機，黃仁勳籲業界負責樂觀	AI 人工智慧,國際觀察,AI 監管,查爾斯三世,英國,輝達,黃仁勳
technews-e2fa39d7f7146291	科技	從錯失恐懼到「AI 宿醉」：全球投資破 2.5 兆美元，為何企業等不到預期績效？	AI 人工智慧,人力資源,公司治理,國際觀察,AI Token,AI 宿醉,AI 焦慮,FOMO
technews-e5af4d982affe4da	不收	終結「男友視角」災難！TikTok 前員工打造 AI 拍照教練，教你擺出完美姿勢	AI 人工智慧,app,新創,科技生活,科技趣聞,AI,Superpose,TikTok
technews-e80e6f2545a6b7a2	科技	中國高純度石英獲 DRAM 廠認證，高階石英坩堝仍受制美國	中國觀察,半導體,材料,半導體材料,太平洋石英,石英
technews-e8d082850e7de795	總經	央行：黃金代幣年底可望上路，現貨提領時間縮短為三天	Fintech,數位貨幣,財經,金融政策,CBDC,央行,數位新台幣,黃金代幣
technews-ee8986dd30983bcc	總經	彭博：傳美國將產能過剩關稅延至下週川習會後宣布	國際觀察,國際貿易,川普,川習會,習近平,關稅
technews-efe5576dd5516dcb	科技	三星顯示器社長：摺疊 OLED 技術韓仍居冠，籲防範中國避免重演 LCD 敗局	國際觀察,國際貿易,面板,Chung Yi,OLED,Samsung Display,中國,摺疊 OLED
technews-f0d5c44f00cdbe23	不收	「AI 對學習來說很糟糕！」吳恩達談育兒與職場：用 AI「出題」比直接要答案更重要	AI 人工智慧,科技教育,科技生活,職場,AI 模型,批判性思考,認知外包,長期記憶
technews-f348ff10f14182bc	不收	2050 年電子廢棄物恐破 2 億噸，AI 貢獻占兩成	AI 人工智慧,環境科學,AI 資料中心,報廢,電子廢棄物
technews-f708dd302aca2537	不收	不驚動任何生物完成生態普查，海洋中心自主開發「深海高流量 eDNA 採樣模組」	尖端科技,自然科學,航太科技,eDNA,國研院,海洋中心,深海生物,深海高流量 eDNA 採樣模組
technews-f8bcc2a7278d94a0	科技	夏普攜手鴻海供應鏈，進軍 AI 伺服器市場	AI 人工智慧,伺服器,國際貿易,AI 伺服器,夏普,鴻海
technews-f9d4a2ea6426bdd1	科技	半導體巨擘 ASML 穩居全球供應鏈核心，解析 EUV 技術與新世代製程布局	半導體,國際貿易,晶圓,晶片,財經,ASML,EUV,High-NA EUV
technews-fa669bf118908d45	科技	科研不再只待在實驗室！2026 未來科技館促成 150 場技術「變現」商談	AI 人工智慧,半導體,尖端科技,生物科技,能源科技,2026 台灣創新技術博覽會,2026 未來科技館,國科會
technews-fd2e29e3f2922754	不收	Sceye 平流層平台完成破紀錄美日往返航程，順利返抵美國	市場動態,數位通訊,航太科技,Sceye,Service Test 1,softbank
